Country Name,2019 [YR2019]
Afghanistan,18799444490
Albania,15401826127
Algeria,1.9346E+11
American Samoa,647000000
Andorra,3155149348
Angola,70897962732
Antigua and Barbuda,1725351852
Argentina,4.47755E+11
Armenia,13619290539
Aruba,3395798883
Australia,1.39467E+12
Austria,4.44596E+11
Azerbaijan,48174235294
"Bahamas, The",13016200000
Bahrain,38653318085
Bangladesh,3.51232E+11
Barbados,5367139250
Belarus,64410122847
Belgium,5.35866E+11
Belize,2386792476
Benin,14390708751
Bermuda,7423465000
Bhutan,2735683409
Bolivia,40895322851
Bosnia and Herzegovina,20482608755
Botswana,16725908149
Brazil,1.87329E+12
British Virgin Islands,..
Brunei Darussalam,13469235365
Bulgaria,68881010246
Burkina Faso,16032813502
Burundi,2576518880
Cabo Verde,2252177124
Cambodia,27089390033
Cameroon,39667757528
Canada,1.74373E+12
Cayman Islands,5941896600
Central African Republic,2221301351
Chad,11314951092
Channel Islands,9921386550
Chile,2.78285E+11
China,1.428E+13
Colombia,3.23032E+11
Comoros,1195019532
"Congo, Dem. Rep.",51775829877
"Congo, Rep.",13976637329
Costa Rica,64417670521
Cote d'Ivoire,60382894697
Croatia,61867157679
Cuba,1.03428E+11
Curacao,3026124134
Cyprus,25947020102
Czechia,2.52548E+11
Denmark,3.46499E+11
Djibouti,3088853639
Dominica,611537037
Dominican Republic,88941372558
Ecuador,1.07596E+11
"Egypt, Arab Rep.",3.18679E+11
El Salvador,26881140000
Equatorial Guinea,11364133550
Eritrea,..
Estonia,31290453294
Eswatini,4495267266
Ethiopia,95912607722
Faroe Islands,3266432734
Fiji,5444407198
Finland,2.68515E+11
France,2.72887E+12
French Polynesia,6022276196
Gabon,16874405460
"Gambia, The",1813609692
Georgia,17638337117
Germany,3.88918E+12
Ghana,68337969248
Gibraltar,..
Greece,2.05253E+11
Greenland,2997309972
Grenada,1213485185
Guam,6355000000
Guatemala,77172317259
Guinea,13442861496
Guinea-Bissau,1486476582
Guyana,5173760192
Haiti,15016090930
Honduras,24882225742
"Hong Kong SAR, China",3.63075E+11
Hungary,1.6402E+11
Iceland,24681343649
India,2.83561E+12
Indonesia,1.1191E+12
"Iran, Islamic Rep.",2.8365E+11
Iraq,2.33636E+11
Ireland,3.98933E+11
Isle of Man,7314967866
Israel,4.02471E+11
Italy,2.0113E+12
Jamaica,15830766531
Japan,5.11799E+12
Jordan,44502816901
Kazakhstan,1.81667E+11
Kenya,1.00378E+11
Kiribati,216891541
"Korea, Dem. People's Rep.",..
"Korea, Rep.",1.65142E+12
Kosovo,7899737577
Kuwait,1.38696E+11
Kyrgyz Republic,9371275264
Lao PDR,18740561513
Latvia,34225547537
Lebanon,51605959131
Lesotho,2390702296
Liberia,3319596500
Libya,72081962263
Liechtenstein,6436467007
Lithuania,54808531641
Luxembourg,69890505324
"Macao SAR, China",55082293844
Madagascar,14104664679
Malawi,11077305330
Malaysia,3.65178E+11
Maldives,5726094799
Mali,17280250810
Malta,16004563886
Marshall Islands,231996704.1
Mauritania,7894764886
Mauritius,14436346980
Mexico,1.30521E+12
"Micronesia, Fed. Sts.",394000000
Moldova,11736797055
Monaco,7383944044
Mongolia,14206359018
Montenegro,5542054181
Morocco,1.2892E+11
Mozambique,15512758965
Myanmar,75065106228
Namibia,12541928103
Nauru,125160115.5
Nepal,34186180699
Netherlands,9.10194E+11
New Caledonia,9475655325
New Zealand,2.12847E+11
Nicaragua,12699046245
Niger,12889555561
Nigeria,4.74517E+11
North Macedonia,12606338449
Northern Mariana Islands,1181000000
Norway,4.08743E+11
Oman,88060858257
Pakistan,3.20909E+11
Palau,281828704.8
Panama,69721787500
Papua New Guinea,24751066911
Paraguay,37925338329
Peru,2.28346E+11
Philippines,3.76823E+11
Poland,5.96058E+11
Portugal,2.39987E+11
Puerto Rico,1.05126E+11
Qatar,1.76371E+11
Romania,2.51018E+11
Russian Federation,1.69312E+12
Rwanda,10349299856
Samoa,912950466.1
San Marino,1616188702
Sao Tome and Principe,412976064.5
Saudi Arabia,8.38565E+11
Senegal,23403995992
Serbia,51514242939
Seychelles,1868690097
Sierra Leone,4076578699
Singapore,3.76902E+11
Sint Maarten (Dutch part),1407880447
Slovak Republic,1.05712E+11
Slovenia,54386654314
Solomon Islands,1619155017
Somalia,9420431258
South Africa,3.8933E+11
South Sudan,..
Spain,1.39432E+12
Sri Lanka,89014978344
St. Kitts and Nevis,1107855556
St. Lucia,2092081549
St. Martin (French part),652206037.1
St. Vincent and the Grenadines,910766666.7
Sudan,32338079165
Suriname,4016040575
Sweden,5.3388E+11
Switzerland,7.21369E+11
Syrian Arab Republic,22583045053
Tajikistan,8300813599
Tanzania,61026731926
Thailand,5.43977E+11
Timor-Leste,2027034000
Togo,6992700101
Tonga,512053692.1
Trinidad and Tobago,23775754305
Tunisia,41905540184
Turkiye,7.61006E+11
Turkmenistan,45232857143
Turks and Caicos Islands,1177285212
Tuvalu,54123198.57
Uganda,35348155095
Ukraine,1.53883E+11
United Arab Emirates,4.1799E+11
United Kingdom,2.85141E+12
United States,2.15214E+13
Uruguay,62222387929
Uzbekistan,60283503705
Vanuatu,936526267.6
"Venezuela, RB",..
Viet Nam,3.34365E+11
Virgin Islands (U.S.),4121000000
West Bank and Gaza,17133500000
"Yemen, Rep.",..
Zambia,23308667781
Zimbabwe,21832234926
Africa Eastern and Southern,1.00653E+12
Africa Western and Central,8.23934E+11
Arab World,2.89867E+12
Caribbean small states,37621010338
Central Europe and the Baltics,1.67482E+12
Early-demographic dividend,1.17677E+13
East Asia & Pacific,2.70325E+13
East Asia & Pacific (excluding high income),1.72132E+13
East Asia & Pacific (IDA & IBRD countries),1.7192E+13
Euro area,1.34811E+13
Europe & Central Asia,2.29082E+13
Europe & Central Asia (excluding high income),1.48877E+12
Europe & Central Asia (IDA & IBRD countries),4.15971E+12
European Union,1.56941E+13
Fragile and conflict affected situations,1.84215E+12
Heavily indebted poor countries (HIPC),8.03356E+11
High income,5.72183E+13
IBRD only,3.12466E+13
IDA & IBRD total,3.37224E+13
IDA blend,1.07775E+12
IDA only,1.39767E+12
IDA total,2.47542E+12
Late-demographic dividend,2.30502E+13
Latin America & Caribbean,5.65997E+12
Latin America & Caribbean (excluding high income),4.80455E+12
Latin America & the Caribbean (IDA & IBRD countries),5.41399E+12
Least developed countries: UN classification,1.1505E+12
Low & middle income,3.04245E+13
Low income,4.45278E+11
Lower middle income,6.27811E+12
Middle East & North Africa,3.54995E+12
Middle East & North Africa (excluding high income),1.43313E+12
Middle East & North Africa (IDA & IBRD countries),1.416E+12
Middle income,2.99785E+13
North America,2.32725E+13
Not classified,..
OECD members,5.4053E+13
Other small states,1.95442E+11
Pacific island small states,10729092905
Post-demographic dividend,5.10188E+13
Pre-demographic dividend,1.42716E+12
Small states,2.43792E+11
South Asia,3.65821E+12
South Asia (IDA & IBRD),3.65821E+12
Sub-Saharan Africa,1.83046E+12
Sub-Saharan Africa (excluding high income),1.82859E+12
Sub-Saharan Africa (IDA & IBRD countries),1.83046E+12
Upper middle income,2.37004E+13
World,8.79456E+13
,
,
,
,
,
Indicator Name,
GDP (current US$),
